prompt_id,prompt_text,prompt_type,primary_genre,main_theme,structure_type,word_count,character_count
1,Craft a sci-fi tale exploring how hope leads to mysterious sacrifice.,general,sci-fi,sacrifice,craft_narrative,11,69
2,Create a thriller narrative about a betrayal facing a whimsical challenge.,general,thriller,betrayal,create_narrative,11,74
3,Craft a adventure epic where redemption becomes the key to humorous survival.,general,adventure,survival,craft_narrative,12,77
4,Craft a horror epic where sacrifice becomes the key to humorous identity.,general,horror,sacrifice,craft_narrative,12,73
5,Write a sci-fi chronicle where survival must overcome suspenseful obstacles.,general,sci-fi,survival,write_story,10,76
6,"In a suspenseful horror realm, redemption discovers the power of survival.",general,horror,survival,world_setting,11,74
7,Tell a historical fiction legend about a redemption seeking mysterious betrayal.,general,historical fiction,betrayal,tell_story,11,80
8,Tell a horror story where sacrifice must choose between identity and betrayal.,general,horror,sacrifice,tell_story,12,78
9,Craft a historical fiction tale exploring how betrayal leads to unexpected sacrifice.,general,historical fiction,sacrifice,craft_narrative,12,85
10,Write a mystery chronicle where redemption must overcome uplifting obstacles.,general,mystery,redemption,write_story,10,77
11,Write about a fantasy who finds sacrifice in a whimsical setting.,general,fantasy,sacrifice,write_story,11,65
12,Create a horror odyssey focused on love and their suspenseful destiny.,general,horror,love,create_narrative,11,70
13,Create a fantasy tale about a sacrifice facing a unexpected challenge.,general,fantasy,sacrifice,create_narrative,11,70
14,Tell a adventure legend about a hope seeking whimsical betrayal.,general,adventure,hope,tell_story,10,64
15,Craft a adventure tale exploring how love leads to uplifting love.,general,adventure,love,craft_narrative,11,66
16,Write a romance tale where family leads to an unexpected mysterious.,general,romance,family,write_story,11,68
17,Write about a romance world where family is both unexpected and essential.,general,romance,family,write_story,12,74
18,"In a adventure world, a family must dark to save the survival.",general,adventure,family,world_setting,12,62
19,Write about a fantasy who finds betrayal in a suspenseful setting.,general,fantasy,betrayal,write_story,11,66
20,Create a romance story about a survival facing a dark challenge.,general,romance,survival,create_narrative,11,64
21,Write about a coming-of-age who finds redemption in a suspenseful setting.,general,coming-of-age,redemption,write_story,11,74
22,"In a unexpected romance realm, redemption discovers the power of family.",general,romance,family,world_setting,11,72
23,Write about a romance world where betrayal is both suspenseful and essential.,general,romance,betrayal,write_story,12,77
24,Tell a thriller legend about a sacrifice seeking humorous hope.,general,thriller,sacrifice,tell_story,10,63
25,Create a thriller odyssey focused on love and their humorous destiny.,general,thriller,love,create_narrative,11,69
26,"In a historical fiction world, a survival must unexpected to save the hope.",general,historical fiction,hope,world_setting,13,75
27,Write about a historical fiction world where sacrifice is both humorous and essential.,general,historical fiction,sacrifice,write_story,13,86
28,Create a horror tale about a hope facing a mysterious challenge.,general,horror,hope,create_narrative,11,64
29,Write a mystery story about a redemption who discovers a humorous secret.,general,mystery,redemption,write_story,12,73
